datetime_utc,water_level_m,error_m
2024-08-22 05:30:00,-9.264,0.182
2024-08-22 05:35:00,-9.238,0.18
2024-08-22 05:40:00,-9.214,0.178
2024-08-22 05:45:00,-9.193,0.176
2024-08-22 05:50:00,-9.174,0.174
2024-08-22 05:55:00,-9.157,0.173
2024-08-22 06:00:00,-9.143,0.171
2024-08-22 06:05:00,-9.132,0.17
2024-08-22 06:10:00,-9.123,0.169
2024-08-22 06:15:00,-9.117,0.168
2024-08-22 06:20:00,-9.114,0.167
2024-08-22 06:25:00,-9.115,0.166
2024-08-22 06:30:00,-9.119,0.166
2024-08-22 06:35:00,-9.128,0.165
2024-08-22 06:40:00,-9.141,0.165
2024-08-22 06:45:00,-9.158,0.165
2024-08-22 06:50:00,-9.181,0.165
2024-08-22 06:55:00,-9.209,0.165
2024-08-22 07:00:00,-9.242,0.165
2024-08-22 07:05:00,-9.28,0.165
2024-08-22 07:10:00,-9.324,0.165
2024-08-22 07:15:00,-9.372,0.165
2024-08-22 07:20:00,-9.425,0.165
2024-08-22 07:25:00,-9.48,0.165
2024-08-22 07:30:00,-9.539,0.166
2024-08-22 07:35:00,-9.599,0.166
2024-08-22 07:40:00,-9.662,0.167
2024-08-22 07:45:00,-9.725,0.167
2024-08-22 07:50:00,-9.789,0.168
2024-08-22 07:55:00,-9.852,0.169
2024-08-22 08:00:00,-9.915,0.171
2024-08-22 08:05:00,-9.977,0.172
2024-08-22 08:10:00,-10.038,0.174
2024-08-22 08:15:00,-10.097,0.176
2024-08-22 08:20:00,-10.156,0.178
2024-08-22 08:25:00,-10.215,0.18
2024-08-22 08:30:00,-10.273,0.181
2024-08-22 08:35:00,-10.332,0.183
2024-08-22 08:40:00,-10.39,0.185
2024-08-22 08:45:00,-10.449,0.186
2024-08-22 08:50:00,-10.508,0.187
2024-08-22 08:55:00,-10.568,0.188
2024-08-22 09:00:00,-10.629,0.188
2024-08-22 09:05:00,-10.691,0.188
2024-08-22 09:10:00,-10.754,0.187
2024-08-22 09:15:00,-10.817,0.186
2024-08-22 09:20:00,-10.881,0.185
2024-08-22 09:25:00,-10.945,0.184
2024-08-22 09:30:00,-11.01,0.182
2024-08-22 09:35:00,-11.074,0.181
2024-08-22 09:40:00,-11.137,0.179
2024-08-22 09:45:00,-11.201,0.178
2024-08-22 09:50:00,-11.263,0.176
2024-08-22 09:55:00,-11.324,0.175
2024-08-22 10:00:00,-11.384,0.174
2024-08-22 10:05:00,-11.443,0.174
2024-08-22 10:10:00,-11.5,0.174
2024-08-22 10:15:00,-11.556,0.174
2024-08-22 10:20:00,-11.61,0.174
2024-08-22 10:25:00,-11.663,0.174
2024-08-22 10:30:00,-11.714,0.175
2024-08-22 10:35:00,-11.764,0.175
2024-08-22 10:40:00,-11.813,0.175
2024-08-22 10:45:00,-11.861,0.176
2024-08-22 10:50:00,-11.907,0.176
2024-08-22 10:55:00,-11.952,0.176
2024-08-22 11:00:00,-11.996,0.175
2024-08-22 11:05:00,-12.038,0.175
2024-08-22 11:10:00,-12.079,0.174
2024-08-22 11:15:00,-12.119,0.173
2024-08-22 11:20:00,-12.157,0.171
2024-08-22 11:25:00,-12.194,0.17
2024-08-22 11:30:00,-12.23,0.168
2024-08-22 11:35:00,-12.264,0.166
2024-08-22 11:40:00,-12.297,0.164
2024-08-22 11:45:00,-12.328,0.162
2024-08-22 11:50:00,-12.358,0.16
2024-08-22 11:55:00,-12.387,0.157
2024-08-22 12:00:00,-12.413,0.155
2024-08-22 12:05:00,-12.438,0.153
2024-08-22 12:10:00,-12.461,0.151
2024-08-22 12:15:00,-12.483,0.15
2024-08-22 12:20:00,-12.501,0.148
2024-08-22 12:25:00,-12.517,0.147
2024-08-22 12:30:00,-12.531,0.146
2024-08-22 12:35:00,-12.541,0.146
2024-08-22 12:40:00,-12.548,0.146
2024-08-22 12:45:00,-12.551,0.147
2024-08-22 12:50:00,-12.551,0.148
2024-08-22 12:55:00,-12.546,0.15
2024-08-22 13:00:00,-12.537,0.153
2024-08-22 13:05:00,-12.524,0.157
2024-08-22 13:10:00,-12.506,0.161
2024-08-22 13:15:00,-12.485,0.166
2024-08-22 13:20:00,-12.46,0.172
2024-08-22 13:25:00,-12.433,0.177
2024-08-22 13:30:00,-12.403,0.183
2024-08-22 13:35:00,-12.372,0.189
2024-08-22 13:40:00,-12.339,0.195
2024-08-22 13:45:00,-12.305,0.201
2024-08-22 13:50:00,-12.27,0.206
2024-08-22 13:55:00,-12.236,0.211
2024-08-22 14:00:00,-12.202,0.215
2024-08-22 14:05:00,-12.168,0.218
2024-08-22 14:10:00,-12.134,0.221
2024-08-22 14:15:00,-12.101,0.223
2024-08-22 14:20:00,-12.066,0.224
2024-08-22 14:25:00,-12.031,0.225
2024-08-22 14:30:00,-11.993,0.225
2024-08-22 14:35:00,-11.953,0.225
2024-08-22 14:40:00,-11.91,0.224
2024-08-22 14:45:00,-11.864,0.223
2024-08-22 14:50:00,-11.814,0.222
2024-08-22 14:55:00,-11.76,0.22
2024-08-22 15:00:00,-11.701,0.218
2024-08-22 15:05:00,-11.636,0.215
2024-08-22 15:10:00,-11.567,0.213
2024-08-22 15:15:00,-11.494,0.21
2024-08-22 15:20:00,-11.418,0.208
2024-08-22 15:25:00,-11.339,0.205
2024-08-22 15:30:00,-11.26,0.202
2024-08-22 15:35:00,-11.179,0.2
2024-08-22 15:40:00,-11.099,0.197
2024-08-22 15:45:00,-11.02,0.195
2024-08-22 15:50:00,-10.942,0.192
2024-08-22 15:55:00,-10.867,0.19
2024-08-22 16:00:00,-10.795,0.188
2024-08-22 16:05:00,-10.727,0.186
2024-08-22 16:10:00,-10.663,0.184
2024-08-22 16:15:00,-10.603,0.183
2024-08-22 16:20:00,-10.546,0.182
2024-08-22 16:25:00,-10.492,0.181
2024-08-22 16:30:00,-10.441,0.179
2024-08-22 16:35:00,-10.392,0.178
2024-08-22 16:40:00,-10.346,0.177
2024-08-22 16:45:00,-10.302,0.176
2024-08-22 16:50:00,-10.26,0.175
2024-08-22 16:55:00,-10.22,0.174
2024-08-22 17:00:00,-10.18,0.173
2024-08-22 17:05:00,-10.142,0.171
2024-08-22 17:10:00,-10.105,0.169
2024-08-22 17:15:00,-10.069,0.168
2024-08-22 17:20:00,-10.035,0.166
2024-08-22 17:25:00,-10.001,0.164
2024-08-22 17:30:00,-9.969,0.162
2024-08-22 17:35:00,-9.938,0.16
2024-08-22 17:40:00,-9.909,0.158
2024-08-22 17:45:00,-9.881,0.157
2024-08-22 17:50:00,-9.855,0.155
2024-08-22 17:55:00,-9.831,0.153
2024-08-22 18:00:00,-9.808,0.151
2024-08-22 18:05:00,-9.786,0.15
2024-08-22 18:10:00,-9.767,0.149
2024-08-22 18:15:00,-9.749,0.148
2024-08-22 18:20:00,-9.733,0.147
2024-08-22 18:25:00,-9.72,0.146
2024-08-22 18:30:00,-9.708,0.145
2024-08-22 18:35:00,-9.699,0.145
2024-08-22 18:40:00,-9.692,0.145
2024-08-22 18:45:00,-9.687,0.144
2024-08-22 18:50:00,-9.685,0.145
2024-08-22 18:55:00,-9.685,0.145
2024-08-22 19:00:00,-9.688,0.145
2024-08-22 19:05:00,-9.694,0.146
2024-08-22 19:10:00,-9.702,0.147
2024-08-22 19:15:00,-9.712,0.148
2024-08-22 19:20:00,-9.725,0.149
2024-08-22 19:25:00,-9.74,0.151
2024-08-22 19:30:00,-9.756,0.152
2024-08-22 19:35:00,-9.774,0.153
2024-08-22 19:40:00,-9.793,0.155
2024-08-22 19:45:00,-9.813,0.156
2024-08-22 19:50:00,-9.834,0.157
2024-08-22 19:55:00,-9.856,0.159
2024-08-22 20:00:00,-9.879,0.16
2024-08-22 20:05:00,-9.902,0.161
2024-08-22 20:10:00,-9.925,0.162
2024-08-22 20:15:00,-9.949,0.162
2024-08-22 20:20:00,-9.975,0.163
2024-08-22 20:25:00,-10.003,0.164
2024-08-22 20:30:00,-10.032,0.165
2024-08-22 20:35:00,-10.063,0.166
2024-08-22 20:40:00,-10.098,0.167
2024-08-22 20:45:00,-10.135,0.168
2024-08-22 20:50:00,-10.175,0.17
2024-08-22 20:55:00,-10.219,0.172
2024-08-22 21:00:00,-10.267,0.174
2024-08-22 21:05:00,-10.318,0.177
2024-08-22 21:10:00,-10.374,0.18
2024-08-22 21:15:00,-10.433,0.183
2024-08-22 21:20:00,-10.495,0.187
2024-08-22 21:25:00,-10.559,0.191
2024-08-22 21:30:00,-10.625,0.194
2024-08-22 21:35:00,-10.693,0.198
2024-08-22 21:40:00,-10.761,0.202
2024-08-22 21:45:00,-10.831,0.205
2024-08-22 21:50:00,-10.9,0.208
2024-08-22 21:55:00,-10.969,0.211
2024-08-22 22:00:00,-11.037,0.213
2024-08-22 22:05:00,-11.104,0.215
2024-08-22 22:10:00,-11.17,0.217
2024-08-22 22:15:00,-11.235,0.218
2024-08-22 22:20:00,-11.299,0.218
2024-08-22 22:25:00,-11.361,0.218
2024-08-22 22:30:00,-11.422,0.218
2024-08-22 22:35:00,-11.482,0.217
2024-08-22 22:40:00,-11.54,0.215
2024-08-22 22:45:00,-11.597,0.213
2024-08-22 22:50:00,-11.653,0.211
2024-08-22 22:55:00,-11.708,0.208
2024-08-22 23:00:00,-11.762,0.204
2024-08-22 23:05:00,-11.814,0.2
2024-08-22 23:10:00,-11.864,0.195
2024-08-22 23:15:00,-11.913,0.19
2024-08-22 23:20:00,-11.96,0.184
2024-08-22 23:25:00,-12.005,0.179
2024-08-22 23:30:00,-12.048,0.173
2024-08-22 23:35:00,-12.087,0.167
2024-08-22 23:40:00,-12.124,0.162
2024-08-22 23:45:00,-12.158,0.156
2024-08-22 23:50:00,-12.188,0.151
2024-08-22 23:55:00,-12.214,0.146
2024-08-23 00:00:00,-12.237,0.141
2024-08-23 00:05:00,-12.256,0.137
2024-08-23 00:10:00,-12.27,0.134
2024-08-23 00:15:00,-12.281,0.131
2024-08-23 00:20:00,-12.288,0.128
2024-08-23 00:25:00,-12.292,0.126
2024-08-23 00:30:00,-12.293,0.124
2024-08-23 00:35:00,-12.29,0.123
2024-08-23 00:40:00,-12.284,0.122
2024-08-23 00:45:00,-12.276,0.121
2024-08-23 00:50:00,-12.265,0.121
2024-08-23 00:55:00,-12.252,0.121
2024-08-23 01:00:00,-12.236,0.122
2024-08-23 01:05:00,-12.218,0.123
2024-08-23 01:10:00,-12.198,0.124
2024-08-23 01:15:00,-12.176,0.126
2024-08-23 01:20:00,-12.153,0.128
2024-08-23 01:25:00,-12.127,0.13
2024-08-23 01:30:00,-12.1,0.132
2024-08-23 01:35:00,-12.071,0.134
2024-08-23 01:40:00,-12.041,0.136
2024-08-23 01:45:00,-12.009,0.138
2024-08-23 01:50:00,-11.977,0.14
2024-08-23 01:55:00,-11.943,0.142
2024-08-23 02:00:00,-11.907,0.144
2024-08-23 02:05:00,-11.871,0.145
2024-08-23 02:10:00,-11.834,0.146
2024-08-23 02:15:00,-11.796,0.147
2024-08-23 02:20:00,-11.756,0.148
2024-08-23 02:25:00,-11.715,0.149
2024-08-23 02:30:00,-11.673,0.15
2024-08-23 02:35:00,-11.629,0.152
2024-08-23 02:40:00,-11.583,0.153
2024-08-23 02:45:00,-11.537,0.154
2024-08-23 02:50:00,-11.488,0.156
2024-08-23 02:55:00,-11.438,0.158
2024-08-23 03:00:00,-11.385,0.161
2024-08-23 03:05:00,-11.332,0.164
2024-08-23 03:10:00,-11.276,0.167
2024-08-23 03:15:00,-11.219,0.171
2024-08-23 03:20:00,-11.16,0.174
2024-08-23 03:25:00,-11.1,0.178
2024-08-23 03:30:00,-11.04,0.182
2024-08-23 03:35:00,-10.979,0.186
2024-08-23 03:40:00,-10.917,0.19
2024-08-23 03:45:00,-10.854,0.193
2024-08-23 03:50:00,-10.792,0.196
2024-08-23 03:55:00,-10.73,0.198
2024-08-23 04:00:00,-10.667,0.2
2024-08-23 04:05:00,-10.605,0.202
2024-08-23 04:10:00,-10.544,0.202
2024-08-23 04:15:00,-10.482,0.203
2024-08-23 04:20:00,-10.421,0.202
2024-08-23 04:25:00,-10.36,0.201
2024-08-23 04:30:00,-10.3,0.2
2024-08-23 04:35:00,-10.239,0.198
2024-08-23 04:40:00,-10.178,0.195
2024-08-23 04:45:00,-10.117,0.192
2024-08-23 04:50:00,-10.056,0.189
2024-08-23 04:55:00,-9.994,0.185
2024-08-23 05:00:00,-9.933,0.181
2024-08-23 05:05:00,-9.871,0.177
2024-08-23 05:10:00,-9.809,0.172
2024-08-23 05:15:00,-9.748,0.167
2024-08-23 05:20:00,-9.688,0.162
2024-08-23 05:25:00,-9.63,0.156
2024-08-23 05:30:00,-9.574,0.151
2024-08-23 05:35:00,-9.521,0.146
2024-08-23 05:40:00,-9.472,0.141
2024-08-23 05:45:00,-9.426,0.136
2024-08-23 05:50:00,-9.385,0.132
2024-08-23 05:55:00,-9.349,0.128
2024-08-23 06:00:00,-9.318,0.124
2024-08-23 06:05:00,-9.293,0.121
2024-08-23 06:10:00,-9.273,0.119
2024-08-23 06:15:00,-9.259,0.117
2024-08-23 06:20:00,-9.249,0.116
2024-08-23 06:25:00,-9.244,0.115
2024-08-23 06:30:00,-9.243,0.114
2024-08-23 06:35:00,-9.246,0.114
2024-08-23 06:40:00,-9.252,0.113
2024-08-23 06:45:00,-9.26,0.114
2024-08-23 06:50:00,-9.271,0.114
2024-08-23 06:55:00,-9.285,0.114
2024-08-23 07:00:00,-9.299,0.115
2024-08-23 07:05:00,-9.316,0.116
2024-08-23 07:10:00,-9.333,0.117
2024-08-23 07:15:00,-9.352,0.118
2024-08-23 07:20:00,-9.372,0.119
2024-08-23 07:25:00,-9.394,0.12
2024-08-23 07:30:00,-9.418,0.121
2024-08-23 07:35:00,-9.443,0.122
2024-08-23 07:40:00,-9.47,0.124
2024-08-23 07:45:00,-9.498,0.125
2024-08-23 07:50:00,-9.529,0.127
2024-08-23 07:55:00,-9.561,0.129
2024-08-23 08:00:00,-9.595,0.131
2024-08-23 08:05:00,-9.632,0.133
2024-08-23 08:10:00,-9.67,0.135
2024-08-23 08:15:00,-9.71,0.138
2024-08-23 08:20:00,-9.753,0.14
2024-08-23 08:25:00,-9.797,0.142
2024-08-23 08:30:00,-9.844,0.145
2024-08-23 08:35:00,-9.893,0.147
2024-08-23 08:40:00,-9.944,0.149
2024-08-23 08:45:00,-9.997,0.152
2024-08-23 08:50:00,-10.052,0.154
2024-08-23 08:55:00,-10.11,0.156
2024-08-23 09:00:00,-10.17,0.157
2024-08-23 09:05:00,-10.232,0.159
2024-08-23 09:10:00,-10.296,0.16
2024-08-23 09:15:00,-10.362,0.161
2024-08-23 09:20:00,-10.429,0.162
2024-08-23 09:25:00,-10.497,0.162
2024-08-23 09:30:00,-10.566,0.163
2024-08-23 09:35:00,-10.636,0.163
2024-08-23 09:40:00,-10.706,0.164
2024-08-23 09:45:00,-10.775,0.164
2024-08-23 09:50:00,-10.844,0.164
2024-08-23 09:55:00,-10.913,0.165
2024-08-23 10:00:00,-10.98,0.165
2024-08-23 10:05:00,-11.047,0.166
2024-08-23 10:10:00,-11.112,0.166
2024-08-23 10:15:00,-11.176,0.167
2024-08-23 10:20:00,-11.238,0.167
2024-08-23 10:25:00,-11.3,0.168
2024-08-23 10:30:00,-11.36,0.168
2024-08-23 10:35:00,-11.419,0.168
2024-08-23 10:40:00,-11.477,0.168
2024-08-23 10:45:00,-11.535,0.168
2024-08-23 10:50:00,-11.591,0.167
2024-08-23 10:55:00,-11.646,0.167
2024-08-23 11:00:00,-11.7,0.166
2024-08-23 11:05:00,-11.753,0.164
2024-08-23 11:10:00,-11.806,0.163
2024-08-23 11:15:00,-11.857,0.161
2024-08-23 11:20:00,-11.908,0.158
2024-08-23 11:25:00,-11.957,0.156
2024-08-23 11:30:00,-12.006,0.153
2024-08-23 11:35:00,-12.054,0.15
2024-08-23 11:40:00,-12.101,0.147
2024-08-23 11:45:00,-12.148,0.143
2024-08-23 11:50:00,-12.193,0.14
2024-08-23 11:55:00,-12.238,0.136
2024-08-23 12:00:00,-12.282,0.132
2024-08-23 12:05:00,-12.325,0.128
2024-08-23 12:10:00,-12.367,0.123
2024-08-23 12:15:00,-12.408,0.119
2024-08-23 12:20:00,-12.448,0.115
2024-08-23 12:25:00,-12.485,0.111
2024-08-23 12:30:00,-12.52,0.107
2024-08-23 12:35:00,-12.553,0.103
2024-08-23 12:40:00,-12.583,0.1
2024-08-23 12:45:00,-12.611,0.097
2024-08-23 12:50:00,-12.635,0.094
2024-08-23 12:55:00,-12.655,0.092
2024-08-23 13:00:00,-12.672,0.09
2024-08-23 13:05:00,-12.685,0.089
2024-08-23 13:10:00,-12.694,0.088
2024-08-23 13:15:00,-12.699,0.088
2024-08-23 13:20:00,-12.701,0.089
2024-08-23 13:25:00,-12.699,0.09
2024-08-23 13:30:00,-12.693,0.092
2024-08-23 13:35:00,-12.685,0.094
2024-08-23 13:40:00,-12.673,0.097
2024-08-23 13:45:00,-12.659,0.1
2024-08-23 13:50:00,-12.641,0.104
2024-08-23 13:55:00,-12.622,0.109
2024-08-23 14:00:00,-12.599,0.114
2024-08-23 14:05:00,-12.574,0.119
2024-08-23 14:10:00,-12.547,0.126
2024-08-23 14:15:00,-12.518,0.132
2024-08-23 14:20:00,-12.486,0.138
2024-08-23 14:25:00,-12.452,0.145
2024-08-23 14:30:00,-12.417,0.151
2024-08-23 14:35:00,-12.379,0.157
2024-08-23 14:40:00,-12.339,0.162
2024-08-23 14:45:00,-12.297,0.167
2024-08-23 14:50:00,-12.253,0.17
2024-08-23 14:55:00,-12.208,0.173
2024-08-23 15:00:00,-12.16,0.175
2024-08-23 15:05:00,-12.111,0.176
2024-08-23 15:10:00,-12.06,0.176
2024-08-23 15:15:00,-12.008,0.174
2024-08-23 15:20:00,-11.953,0.172
2024-08-23 15:25:00,-11.897,0.17
2024-08-23 15:30:00,-11.84,0.167
2024-08-23 15:35:00,-11.78,0.164
2024-08-23 15:40:00,-11.719,0.161
2024-08-23 15:45:00,-11.657,0.158
2024-08-23 15:50:00,-11.592,0.155
2024-08-23 15:55:00,-11.526,0.153
2024-08-23 16:00:00,-11.459,0.151
2024-08-23 16:05:00,-11.39,0.151
2024-08-23 16:10:00,-11.32,0.151
2024-08-23 16:15:00,-11.248,0.151
2024-08-23 16:20:00,-11.176,0.152
2024-08-23 16:25:00,-11.104,0.153
2024-08-23 16:30:00,-11.032,0.155
2024-08-23 16:35:00,-10.961,0.156
2024-08-23 16:40:00,-10.89,0.158
2024-08-23 16:45:00,-10.821,0.159
2024-08-23 16:50:00,-10.753,0.16
2024-08-23 16:55:00,-10.687,0.16
2024-08-23 17:00:00,-10.623,0.16
2024-08-23 17:05:00,-10.561,0.159
2024-08-23 17:10:00,-10.502,0.157
2024-08-23 17:15:00,-10.445,0.155
2024-08-23 17:20:00,-10.391,0.152
2024-08-23 17:25:00,-10.338,0.149
2024-08-23 17:30:00,-10.287,0.145
2024-08-23 17:35:00,-10.238,0.141
2024-08-23 17:40:00,-10.19,0.137
2024-08-23 17:45:00,-10.143,0.133
2024-08-23 17:50:00,-10.098,0.128
2024-08-23 17:55:00,-10.054,0.124
2024-08-23 18:00:00,-10.011,0.119
2024-08-23 18:05:00,-9.968,0.115
2024-08-23 18:10:00,-9.927,0.111
2024-08-23 18:15:00,-9.887,0.107
2024-08-23 18:20:00,-9.848,0.104
2024-08-23 18:25:00,-9.81,0.1
2024-08-23 18:30:00,-9.775,0.097
2024-08-23 18:35:00,-9.742,0.094
2024-08-23 18:40:00,-9.711,0.091
2024-08-23 18:45:00,-9.682,0.089
2024-08-23 18:50:00,-9.657,0.086
2024-08-23 18:55:00,-9.634,0.084
2024-08-23 19:00:00,-9.614,0.083
2024-08-23 19:05:00,-9.598,0.081
2024-08-23 19:10:00,-9.585,0.081
2024-08-23 19:15:00,-9.575,0.08
2024-08-23 19:20:00,-9.568,0.08
2024-08-23 19:25:00,-9.563,0.08
2024-08-23 19:30:00,-9.561,0.081
2024-08-23 19:35:00,-9.56,0.082
2024-08-23 19:40:00,-9.562,0.083
2024-08-23 19:45:00,-9.566,0.086
2024-08-23 19:50:00,-9.571,0.088
2024-08-23 19:55:00,-9.578,0.092
2024-08-23 20:00:00,-9.586,0.095
2024-08-23 20:05:00,-9.595,0.1
2024-08-23 20:10:00,-9.605,0.105
2024-08-23 20:15:00,-9.617,0.11
2024-08-23 20:20:00,-9.63,0.116
2024-08-23 20:25:00,-9.646,0.122
2024-08-23 20:30:00,-9.663,0.127
2024-08-23 20:35:00,-9.683,0.133
2024-08-23 20:40:00,-9.706,0.138
2024-08-23 20:45:00,-9.731,0.143
2024-08-23 20:50:00,-9.76,0.147
2024-08-23 20:55:00,-9.792,0.151
2024-08-23 21:00:00,-9.828,0.154
2024-08-23 21:05:00,-9.868,0.156
2024-08-23 21:10:00,-9.911,0.158
2024-08-23 21:15:00,-9.957,0.158
2024-08-23 21:20:00,-10.007,0.159
2024-08-23 21:25:00,-10.059,0.159
2024-08-23 21:30:00,-10.114,0.158
2024-08-23 21:35:00,-10.171,0.158
2024-08-23 21:40:00,-10.23,0.158
2024-08-23 21:45:00,-10.291,0.158
2024-08-23 21:50:00,-10.353,0.158
2024-08-23 21:55:00,-10.416,0.159
2024-08-23 22:00:00,-10.48,0.16
2024-08-23 22:05:00,-10.544,0.162
2024-08-23 22:10:00,-10.609,0.165
2024-08-23 22:15:00,-10.674,0.168
2024-08-23 22:20:00,-10.739,0.171
2024-08-23 22:25:00,-10.803,0.175
2024-08-23 22:30:00,-10.867,0.179
2024-08-23 22:35:00,-10.93,0.182
2024-08-23 22:40:00,-10.991,0.185
2024-08-23 22:45:00,-11.052,0.187
2024-08-23 22:50:00,-11.11,0.189
2024-08-23 22:55:00,-11.167,0.19
2024-08-23 23:00:00,-11.222,0.19
2024-08-23 23:05:00,-11.275,0.189
2024-08-23 23:10:00,-11.325,0.187
2024-08-23 23:15:00,-11.373,0.184
2024-08-23 23:20:00,-11.419,0.181
2024-08-23 23:25:00,-11.464,0.176
2024-08-23 23:30:00,-11.506,0.171
2024-08-23 23:35:00,-11.547,0.166
2024-08-23 23:40:00,-11.586,0.16
2024-08-23 23:45:00,-11.624,0.154
2024-08-23 23:50:00,-11.66,0.148
2024-08-23 23:55:00,-11.695,0.141
2024-08-24 00:00:00,-11.729,0.135
2024-08-24 00:05:00,-11.762,0.129
2024-08-24 00:10:00,-11.793,0.124
2024-08-24 00:15:00,-11.824,0.118
2024-08-24 00:20:00,-11.852,0.113
2024-08-24 00:25:00,-11.88,0.109
2024-08-24 00:30:00,-11.905,0.104
2024-08-24 00:35:00,-11.929,0.1
2024-08-24 00:40:00,-11.95,0.096
2024-08-24 00:45:00,-11.97,0.093
2024-08-24 00:50:00,-11.987,0.09
2024-08-24 00:55:00,-12.002,0.087
2024-08-24 01:00:00,-12.014,0.085
2024-08-24 01:05:00,-12.024,0.083
2024-08-24 01:10:00,-12.031,0.081
2024-08-24 01:15:00,-12.035,0.08
2024-08-24 01:20:00,-12.037,0.079
2024-08-24 01:25:00,-12.037,0.079
2024-08-24 01:30:00,-12.035,0.079
2024-08-24 01:35:00,-12.03,0.08
2024-08-24 01:40:00,-12.023,0.08
2024-08-24 01:45:00,-12.015,0.081
2024-08-24 01:50:00,-12.004,0.082
2024-08-24 01:55:00,-11.991,0.084
2024-08-24 02:00:00,-11.977,0.085
2024-08-24 02:05:00,-11.961,0.087
2024-08-24 02:10:00,-11.944,0.089
2024-08-24 02:15:00,-11.925,0.092
2024-08-24 02:20:00,-11.904,0.094
2024-08-24 02:25:00,-11.882,0.097
2024-08-24 02:30:00,-11.858,0.1
2024-08-24 02:35:00,-11.833,0.103
2024-08-24 02:40:00,-11.806,0.106
2024-08-24 02:45:00,-11.778,0.109
2024-08-24 02:50:00,-11.749,0.113
2024-08-24 02:55:00,-11.718,0.116
2024-08-24 03:00:00,-11.685,0.12
2024-08-24 03:05:00,-11.652,0.124
2024-08-24 03:10:00,-11.617,0.128
2024-08-24 03:15:00,-11.58,0.132
2024-08-24 03:20:00,-11.542,0.136
2024-08-24 03:25:00,-11.502,0.14
2024-08-24 03:30:00,-11.46,0.144
2024-08-24 03:35:00,-11.417,0.147
2024-08-24 03:40:00,-11.371,0.151
2024-08-24 03:45:00,-11.323,0.154
2024-08-24 03:50:00,-11.273,0.158
2024-08-24 03:55:00,-11.221,0.16
2024-08-24 04:00:00,-11.166,0.163
2024-08-24 04:05:00,-11.109,0.165
2024-08-24 04:10:00,-11.05,0.167
2024-08-24 04:15:00,-10.989,0.169
2024-08-24 04:20:00,-10.928,0.17
2024-08-24 04:25:00,-10.866,0.171
2024-08-24 04:30:00,-10.805,0.172
2024-08-24 04:35:00,-10.744,0.173
2024-08-24 04:40:00,-10.685,0.173
2024-08-24 04:45:00,-10.628,0.173
